FROM,TO,DAY,DAYS,TYPE,Title_gsheets,NOTES,COLOR_CATEGORY,Date,Title_wiki,Year,Game Wiki Link,Source Links
2026-04-23 00:00:00,2026-04-30 00:00:00,Thursday,7,next,DOOMBLADE,,FFD0E0E3,,,,,
2026-04-16 00:00:00,2026-04-23 00:00:00,Thursday,7,mobile,Broken Sword : Reforged,,FFF4CCCC,,,,,
2026-04-16 00:00:00,2026-04-23 00:00:00,Thursday,7,,The Stone of Madness,,FFD0E0E3,16-23 April 2026,The Stone of Madness,2026.0,https://ru.wikipedia.org/wiki/The_Stone_of_Madness,https://www.igromania.ru/news/165707/v-epic-games-store-stali-besplatno-otdavat-stels-strategiyu-the-stone-of-madness/
2026-04-09 00:00:00,2026-04-16 00:00:00,Thursday,7,mobile,Dumb Ways to Draw,,FFF4CCCC,,,,,
2026-04-09 00:00:00,2026-04-16 00:00:00,Thursday,7,,Prop Sumo,,FFD0E0E3,9-16 April 2026,Prop Sumo,2026.0,https://ru.wikipedia.org/w/index.php?title=Prop_Sumo&action=edit&redlink=1,https://www.polygon.com/epic-games-store-free-game-4-9-2026-prop-sumo/
2026-04-02 00:00:00,2026-04-09 00:00:00,Thursday,7,mobile,Dumb Ways to Die 2: The Games,,FFF4CCCC,,,,,
2026-04-02 00:00:00,2026-04-09 00:00:00,Thursday,7,,Clone Drone in the Danger Zone,,FFD0E0E3,2-9 April 2026,Clone Drone in the Danger Zone,2026.0,https://ru.wikipedia.org/w/index.php?title=Clone_Drone_in_the_Danger_Zone&action=edit&redlink=1,https://vgtimes.ru/gaming-news/152484-clone-drone-in-the-danger-zone.html
2026-04-02 00:00:00,2026-04-16 00:00:00,Thursday,14,other,TOMAK: Save the Earth Regeneration,to celebrate the 25th anniversary,FFD0E0E3,,,,,
2026-03-26 00:00:00,2026-04-02 00:00:00,Thursday,7,mobile,The Wreck,,FFF4CCCC,,,,,
2026-03-26 00:00:00,2026-04-02 00:00:00,Thursday,7,,Havendock,,FFD0E0E3,26 March - 2 April 2026,Havendock,2026.0,https://ru.wikipedia.org/w/index.php?title=Havendock&action=edit&redlink=1,https://www.igromania.ru/news/165212/v-epic-games-store-stali-besplatno-otdavat-simulyator-havendock-i-ekshen-hyper-echelon/
2026-03-26 00:00:00,2026-04-02 00:00:00,Thursday,7,,Hyper Echelon,,FFD0E0E3,,,,,
2026-03-19 00:00:00,2026-03-26 00:00:00,Thursday,7,mobile,Potion Permit,,FFF4CCCC,,,,,
